path,artist,author,title,description,date,medium,dimensions,institution,department,inscriptions,notes,accession_number,source,permission,categories
"/Users/gregorymccollum/Desktop/Python/Harvard/WikiImages/Corvina (Rio de Janeiro, Brazil, 11 July 1865)urn-3:FMUS.MCZ:2004-325325.jpg","[[wikidata:Q53499085|Burkhardt, Jacques]]","[[wikidata:Q53499085|Burkhardt, Jacques]]","Corvina (Rio de Janeiro, Brazil, 11 July 1865)",Taxonomic Classification: Animalia--Sciaenidae--Corvina. Common Name: Croaker,1865-07-11,watercolor on paper,17 x 26 cm.,[[wikidata:Q13371|Harvard University]],[[wikidata:Q53528757|Ernst Mayr Library]],"[approximately:] Famille des Scionoides, Genre Corvina. Espece inedite. Il y en a une petite espece a pectorale etroite & une grande argenter a larges pectorales. Le dos est plus arque. La depression a la nuque est l'effet delu contraktion des muscles, an moment orlumort. Leblance reflette un peu plus l'argent. Corvina. Rio le 11 Juillet /5a JB.--Agassiz, Louis",1 fish drawing (7 x 17 cm.),MH:MCZArtwork ARC_209-001,Harvard CURIOSity Collection - Jacques Burkhardt Scientific Drawings: http://id.lib.harvard.edu/curiosity/jacques-burkhardt-scientific-drawings/33-ARC_209-001 ,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information (URI: https://rightsstatements.org/page/NoC-US/1.0/?language=en)",Jacques Burkhardt Scientific Drawings
"/Users/gregorymccollum/Desktop/Python/Harvard/WikiImages/Dentex (Rio de Janeiro, Brazil, 11 July 1865)urn-3:FMUS.MCZ:2004-325326.jpg","[[wikidata:Q53499085|Burkhardt, Jacques]]","[[wikidata:Q53499085|Burkhardt, Jacques]]","Dentex (Rio de Janeiro, Brazil, 11 July 1865)",Taxonomic Classification: Animalia--Sparidae--Dentex. Common Name: Porgy,1865-07-11,watercolor on paper,17 x 26 cm.,[[wikidata:Q13371|Harvard University]],[[wikidata:Q53528757|Ernst Mayr Library]],[approximately:] Famille des Sparoides. Genre Dentex. Esp. nouvelle. Vermelho mulata. Rio le 11 Juillet 65 J.B.,1 fish drawing (10 x 19 cm.),MH:MCZArtwork ARC_209-002,Harvard CURIOSity Collection - Jacques Burkhardt Scientific Drawings: http://id.lib.harvard.edu/curiosity/jacques-burkhardt-scientific-drawings/33-ARC_209-002 ,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information (URI: https://rightsstatements.org/page/NoC-US/1.0/?language=en)",Jacques Burkhardt Scientific Drawings
"/Users/gregorymccollum/Desktop/Python/Harvard/WikiImages/Sparidae (Rio de Janeiro, Brazil, 13 July 1865)urn-3:FMUS.MCZ:2004-325327.jpg","[[wikidata:Q53499085|Burkhardt, Jacques]]","[[wikidata:Q53499085|Burkhardt, Jacques]]","Sparidae (Rio de Janeiro, Brazil, 13 July 1865)",Taxonomic Classification: Animalia--Sparidae. Common Name: Porgie. Original Name: Sargus,1865-07-13,watercolor on paper,17 x 26 cm.,[[wikidata:Q13371|Harvard University]],[[wikidata:Q53528757|Ernst Mayr Library]],"Famille des Sparoides. Genre Sargus. Espece nouvelle. Peixe penna.--Agassiz, Louis. Rio le 13 Juillet /65 JB.--Burkhardt, Jacques",1 fish drawing (7 x 15 cm.),MH:MCZArtwork ARC_209-003,Harvard CURIOSity Collection - Jacques Burkhardt Scientific Drawings: http://id.lib.harvard.edu/curiosity/jacques-burkhardt-scientific-drawings/33-ARC_209-003 ,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information (URI: https://rightsstatements.org/page/NoC-US/1.0/?language=en)",Jacques Burkhardt Scientific Drawings
"/Users/gregorymccollum/Desktop/Python/Harvard/WikiImages/Lepophidium brevibarbe (Rio de Janeiro, Brazil, 13 June 1865)urn-3:FMUS.MCZ:2004-325328.jpg","[[wikidata:Q53499085|Burkhardt, Jacques]]","[[wikidata:Q53499085|Burkhardt, Jacques]]","Lepophidium brevibarbe (Rio de Janeiro, Brazil, 13 June 1865)",Taxonomic Classification: Animalia--Ophidiidae--Lepophidium brevibarbe. Common Name: Blackedge cusk-eel. Common Name: Gadoid fish,1865-06-13,watercolor on paper,18 x 26 cm.,[[wikidata:Q13371|Harvard University]],[[wikidata:Q53528757|Ernst Mayr Library]],"Famille des Ophidiniens. Genre Ophidium. Espece nouvelle? Resemble a l'O. brevibarbe & an brasiliense, sans repondre exactemente a la description de l'un on de l'autre. Abrota? Rio 13. Juin J.B.",1 fish (4 x 21 cm.),MH:MCZArtwork ARC_209-004,Harvard CURIOSity Collection - Jacques Burkhardt Scientific Drawings: http://id.lib.harvard.edu/curiosity/jacques-burkhardt-scientific-drawings/33-ARC_209-004 ,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information (URI: https://rightsstatements.org/page/NoC-US/1.0/?language=en)",Jacques Burkhardt Scientific Drawings
"/Users/gregorymccollum/Desktop/Python/Harvard/WikiImages/Caranx chloris (Rio de Janeiro, Brazil, 3 June 1865)urn-3:FMUS.MCZ:2004-325333.jpg","[[wikidata:Q53499085|Burkhardt, Jacques]]","[[wikidata:Q53499085|Burkhardt, Jacques]]","Caranx chloris (Rio de Janeiro, Brazil, 3 June 1865)",Taxonomic Classification: Animalia--Scomberidae--Caranx--Caranx chloris. Common Name: mackerel,1865-06-03,watercolor on paper,17 x 26 cm.,[[wikidata:Q13371|Harvard University]],[[wikidata:Q53528757|Ernst Mayr Library]],"Famille des Scomberoides Genre Caranx Esp. C. chloris. Pourroih n'etre que le jeune delagrande espece? Hert neremant different. Seles an compares. Le gr[--] a la [--] laterale moins argue. (Xixarro [equals sign] Ceranx punctatus)--Agassiz, Louis. Xerrelete Xarelete [?]. Rio le 3 Juin /65. JB.--Burkhardt, Jacques",1 fish (6 x 15 cm.),MH:MCZArtwork ARC_209-009,Harvard CURIOSity Collection - Jacques Burkhardt Scientific Drawings: http://id.lib.harvard.edu/curiosity/jacques-burkhardt-scientific-drawings/33-ARC_209-009 ,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information (URI: https://rightsstatements.org/page/NoC-US/1.0/?language=en)",Jacques Burkhardt Scientific Drawings
"/Users/gregorymccollum/Desktop/Python/Harvard/WikiImages/Caranx (Xarelete welho) (Rio de Janeiro, Brazil, 19 July 1865)urn-3:FMUS.MCZ:2004-325335.jpg","[[wikidata:Q53499085|Burkhardt, Jacques]]","[[wikidata:Q53499085|Burkhardt, Jacques]]","Caranx (Xarelete welho) (Rio de Janeiro, Brazil, 19 July 1865)",Taxonomic Classification: Animalia--Scomberidae--Caranx. Common Name: mackerel,1865-07-19,watercolor on paper,17 x 26 cm.,[[wikidata:Q13371|Harvard University]],[[wikidata:Q53528757|Ernst Mayr Library]],"Feinte plus verda tre de la base rela nagera [?]. Xarelete welho. Rio le 19 Juillet 65 JB.--Burkhardt, Jacques",1 fish drawing (9 x 19 cm.),MH:MCZArtwork ARC_209-011,Harvard CURIOSity Collection - Jacques Burkhardt Scientific Drawings: http://id.lib.harvard.edu/curiosity/jacques-burkhardt-scientific-drawings/33-ARC_209-011 ,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information (URI: https://rightsstatements.org/page/NoC-US/1.0/?language=en)",Jacques Burkhardt Scientific Drawings
/Users/gregorymccollum/Desktop/Python/Harvard/WikiImages/Micropteryx cosmopolita Agassizurn-3:FMUS.MCZ:2004-325336.jpg,"[[wikidata:Q53499085|Burkhardt, Jacques]]","[[wikidata:Q53499085|Burkhardt, Jacques]]",Micropteryx cosmopolita Agassiz,Taxonomic Classification: Animalia--Scomberidae--Micropteryx--Micropteryx cosmopolita Agassiz. Common Name: Mackerel,1865-04-30,watercolor on paper,18 x 26 cm.,[[wikidata:Q13371|Harvard University]],[[wikidata:Q53528757|Ernst Mayr Library]],"Famille des Scomberoides, genre Micropteryx. Espec. Micr. cosmopolita Agass. [equals] Seriola cosmopolita Cuv. mais le genre Le viola nepent pus Etra courne [?]--Agassiz, Louis. Palombeta. J.B. Marche de Rio. 30 Avril 18/65--Burkhardt, Jacques. -",1 fish drawing (8 x 16 cm.),MH:MCZArtwork ARC_209-012,Harvard CURIOSity Collection - Jacques Burkhardt Scientific Drawings: http://id.lib.harvard.edu/curiosity/jacques-burkhardt-scientific-drawings/33-ARC_209-012 ,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information (URI: https://rightsstatements.org/page/NoC-US/1.0/?language=en)",Jacques Burkhardt Scientific Drawings
/Users/gregorymccollum/Desktop/Python/Harvard/WikiImages/Gardinho redondourn-3:FMUS.MCZ:2004-325340.jpg,"[[wikidata:Q53499085|Burkhardt, Jacques]]","[[wikidata:Q53499085|Burkhardt, Jacques]]",Gardinho redondo,Taxonomic Classification: Animalia--Chordata--Actinopterygii. Common Name: [unknown],1865-07-19,watercolor on paper,17 x 26 cm.,[[wikidata:Q13371|Harvard University]],[[wikidata:Q53528757|Ernst Mayr Library]],"Gardinho redondo. Rio le 19 Juillet JB.--Burkhardt, Jacques",1 fish drawing (12 x 15 cm.),MH:MCZArtwork ARC_209-016,Harvard CURIOSity Collection - Jacques Burkhardt Scientific Drawings: http://id.lib.harvard.edu/curiosity/jacques-burkhardt-scientific-drawings/33-ARC_209-016 ,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information (URI: https://rightsstatements.org/page/NoC-US/1.0/?language=en)",Jacques Burkhardt Scientific Drawings
/Users/gregorymccollum/Desktop/Python/Harvard/WikiImages/Tetragonopterusurn-3:FMUS.MCZ:2004-325344.jpg,"[[wikidata:Q53499085|Burkhardt, Jacques]]","[[wikidata:Q53499085|Burkhardt, Jacques]]",Tetragonopterus,Taxonomic Classification: Animalia--Characiformes--Characidae--Tetragonopterus. Common Name: Butterfly-fish. Common Name: Tetra,1865-05-19,watercolor on paper,26 x 17 cm.,[[wikidata:Q13371|Harvard University]],[[wikidata:Q53528757|Ernst Mayr Library]],"Pirahy R. No. 1 Tiaba! (W. Morsing) 19 May /65 JB.--Burkhardt, Jacques. R. Pirahy at Santa Anna Station on Dom Pedro R.R. collected Copeland. Heigh above level of the sea about 1400 feet. Hartt.--Hartt, Charles Frederick. Barra do Pirahy. Famille des Characins. Genre Tetragonopterus. Esp. nouvelle.--Agassiz, Louis",1 fish drawing (5 x 10 cm.),MH:MCZArtwork ARC_209-020,Harvard CURIOSity Collection - Jacques Burkhardt Scientific Drawings: http://id.lib.harvard.edu/curiosity/jacques-burkhardt-scientific-drawings/33-ARC_209-020 ,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information (URI: https://rightsstatements.org/page/NoC-US/1.0/?language=en)",Jacques Burkhardt Scientific Drawings
/Users/gregorymccollum/Desktop/Python/Harvard/WikiImages/Macrodon trahiraurn-3:FMUS.MCZ:2004-325347.jpg,"[[wikidata:Q53499085|Burkhardt, Jacques]]","[[wikidata:Q53499085|Burkhardt, Jacques]]",Macrodon trahira,Taxonomic Classification: Animalia--Erythrinoides--Macrodon--Macrodon trahira. Common Name: Tiger tetra,1865-05-23,watercolor on paper,26 x 17 cm.,[[wikidata:Q13371|Harvard University]],[[wikidata:Q53528757|Ernst Mayr Library]],"Famille des Erythrinoides. Genre Macrodon. Esp. Macr. Trahira.--Agassiz, Louis. Gre-- y de Barra do Pirahy. No. 4. Barra do Pirahy. 23. May /65. J.B.--Burkhardt, Jacques",1 fish drawing (4 x 10 cm.),MH:MCZArtwork ARC_209-023,Harvard CURIOSity Collection - Jacques Burkhardt Scientific Drawings: http://id.lib.harvard.edu/curiosity/jacques-burkhardt-scientific-drawings/33-ARC_209-023 ,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information (URI: https://rightsstatements.org/page/NoC-US/1.0/?language=en)",Jacques Burkhardt Scientific Drawings
